Distance,Average_Transit_Days,Number_Of_Travels,Total_Incidents_Count,Carbon_Emissions,Cargo_Value,Route_Duration,Incident_Date,Days_Since_Incident,Recent_Incidents,POL_Code,POD_Code,Total_Recent_Incidents,Previous_Safety_Awards_no,Previous_Safety_Awards_yes,Training_Programs_irregular,Training_Programs_regular,Incident_Severity_critical,Incident_Severity_major,Incident_Severity_minor,RiskScore,RiskScore_Category
1.8321615203818538,0.55990178044168,0.3414419212134663,0.0716948560116586,2.558139463687305,-0.398167395414539,-0.5012519397910546,2023-01-01,590,0,POL1,POD3,-0.8505373555014782,False,True,False,True,False,True,False,0.5243816608548494,
0.45103971359505013,0.9073060478682881,-1.1956405970382746,-1.8026804645545844,-0.9574636363505739,-1.41852811190248,0.08452305113356212,2023-01-02,589,0,POL3,POD3,-0.8505373555014782,True,False,False,True,True,False,False,-0.8425565310237004,
1.0369282502797428,-0.4500431244001889,0.13183975963368344,1.00888251629478,-1.020711268634646,-1.8128852252108063,-0.28691363990258895,2023-01-03,588,0,POL2,POD3,-0.8505373555014782,True,False,True,False,True,False,False,-0.24157552354445477,
2.31502510909343,0.09404595387207576,0.4811766955999882,0.5402886861532193,0.9471069660573447,0.3628873503766852,0.31075408618995887,2023-01-04,587,0,POL1,POD3,-0.8505373555014782,True,False,True,False,True,False,False,0.24336861310655972,
1.9369744919693905,0.22137781294208833,-0.7065688866854479,-0.8654928042714629,-2.3510225899061075,-0.7460887979762503,-0.7420983056158961,2023-01-05,586,0,POL1,POD2,-0.8505373555014782,True,False,True,False,False,False,True,-0.7697351800509644,
-0.9437930600986626,0.19394423910017244,-0.3572319507191432,1.9460701765779016,0.36702759281631026,-1.8791158080019847,-0.21438007433442172,2023-01-06,585,0,POL3,POD3,-0.8505373555014782,True,False,True,False,False,True,False,0.30975072777960466,
1.007916825524281,0.5442210063793034,-1.1257732098450137,-1.3340866344130238,0.4236329907423406,-2.306055016395369,-0.626185362071182,2023-01-07,584,0,POL2,POD1,-0.8505373555014782,True,False,False,True,False,True,False,-0.5363180353032345,
-0.10744060253345665,-1.890987569122916,1.0401157931460758,1.00888251629478,0.29730351183947196,-0.9242185309223176,-0.6682832738228793,2023-01-08,583,0,POL1,POD3,-0.8505373555014782,False,True,True,False,False,True,False,0.14172652183447826,
-0.058694234812170225,-0.06497844688674959,0.3414419212134663,1.00888251629478,-1.2534874298831142,-2.430712628688925,-0.2242674372388097,2023-01-09,582,0,POL3,POD3,-0.8505373555014782,False,True,False,True,False,False,True,-0.1288080041702147,
0.4616128858607332,0.2327135268682519,-0.0777624019460994,0.0716948560116586,0.9512588659538277,-0.11951491557571911,1.0642802723826936,2023-01-10,581,0,POL2,POD2,-0.8505373555014782,False,True,False,True,True,False,False,0.13657556150541045,
